🆕,D,S,NAME,PARENT TYPE,TYPE,BRAND,ORIGIN,ABV,DNGR ,SHWN ,FINAL,DONGER COMMENTS,SHAWOOBOO COMMENTS
,,,Wipers Times Dubbel,DARK ALES,Dubbel,BROUWERIJ KAZEMATTEN,"Ypres, BELGIUM ",6.5%,5.5,6.3,5.9,10/10 banana and clove smell. Could not get over the weird lingering finish.,"sharp bubbles again, perhaps a trait of the brewery, nice banana aroma, swirling and settling the bubbles might be necessary"
,,,Winter Solstice Seasonal Ale,DARK ALES,Winter Warmer,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",6.9%,4.9,5.7,5.3,"Like their Boont Amber, just more tannin-bitter and no added spices.",better than the boont amber can
,,,Breckenridge Christmas Ale,DARK ALES,Winter Warmer,BRECKENRIDGE BREWERY,"Breckenridge, CO",7.1%,4.7,5.2,5.0,"Didn't get any spices. Really just a dark, flat, bitter amber. ","kinda a muted dark ale, good as a normal ale, but def not ""christmas"" enough"
,,,Kilt Lifter Scottish Style Ale,DARK ALES,Scottish Ale,FOUR PEAKS BREWING COMPANY,"Tempe, AZ",6.0%,5.0,5.0,5.0,Nothing to write home about. Just a decent malty dark-fruit-y beer. ,"malty, figgy, decent drink"
,,,Lions Winter Ale,DARK ALES,Winter Warmer,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",5.5%,4.0,,,"Vanilla cream soda, but beer. Lots of spices. ",
,,,Winter Ale Chocolate Orange,DARK ALES,Winter Warmer,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",5.5%,4.0,,,Tasted like chocolate and oranges. ,
,,,Powder Tracks Winter Ale,DARK ALES,Winter Warmer,STOUP BREWING,"Seattle, WA",8.3%,,3.6,,,"hoppy and malty, ""winter ale"" my asshole"
,,,Westmalle Trappist Dubbel,DARK ALES,Dubbel,BROUWERIJ DER TRAPPISTEN VAN WESTMALLE,"Westmalle, BELGIUM",7.0%,4.6,2.4,3.5,A White Claw dubbel.,a la croix with a quad in the same room
,,,Belhaven Scottish Ale,DARK ALES,Scottish Ale,BELHAVEN BREWERY,"Belhaven, SCOTLAND",5.2%,3.5,2.8,3.2,Really heavy carbonation makes it kind of spicy. Not much else though. ,"liquid smoke wringed out of a very worn kilt (REVISTED, prev. 5.3 : sharp fizz, sweet, but none of their marketed characteristics)"
,,,Westvleteren VIII,DARK ALES,Dubbel,BROUWERIJ WESTVLETEREN,"Vleteren, BELGIUM",8.0%,,,,,
,,,Brown Bonnie,BROWN ALES,American Brown Ale,DEADBEACH BREWERY,"El Paso, TX",7.3%,,6.9,,,chocolate malty ale with no wood and forest
,,,Golden Road Altbier,BROWN ALES,Altbier,GOLDEN ROAD BREWING,"Los Angeles, CA",5.1%,6.6,6.5,6.6,First brown ale I've had that didn't taste like the forest. Nicely malted and nutty. ,best brown ale yet
,,,Espresso Escape ,BROWN ALES,American Brown Ale,CAMPSITE BREWING COMPANY,"Covina, CA",5.8%,6.5,6.0,6.3,A peanut butter coffee stout with pretending in a light brown ale body. ,"chocolate, espresso, zero brown notes tbh"
,,,Samuel Smith Nut Brown Ale,BROWN ALES,English Brown Ale,SAMUEL SMITH OLD BREWERY,"Tadcaster, ENGLAND",5.0%,6.5,6.0,6.3,"Still no nuts. Roasty, malty flavors but brown ales never seem to shake that woodsy-ness. ","prob best one so far, but the wood taste of brown ale might not be for me"
,,,Davy Brown Ale,BROWN ALES,American Brown Ale,FIGUEROA MOUNTAIN BREWING COMPANY,"Buellton, CA",6.0%,6.4,5.2,5.8,Tastes like toasted plaid flannels and lumber.,"wood, need more data tbh"
,,,Get Up Offa That Brown,BROWN ALES,English Brown Ale,GOLDEN ROAD BREWING,"Los Angeles, CA",5.5%,5.4,4.3,4.9,An inoffensive brown. Very light stout flavors. ,babys first brown ale
,,,Churchill Browns,BROWN ALES,American Brown Ale,FLASHPOINT BREWING COMPANY,"Huntington Beach, CA",5.6%,4.7,4.6,4.7,"Coffee Crisp scent, finishes like seltzer water.",fizzy watery brown ale
,,,Nutty Brewnette,BROWN ALES,American Brown Ale,BJ'S BREWHOUSE,"West Covina, CA",5.9%,5.2,4.1,4.7,Less peanut-y the second time around.,woody nut.
,,,Turbodog,BROWN ALES,English Brown Ale,ABITA BREWING COMPANY,"Covington, LA",5.6%,5.3,4.1,4.7,"Thick and rich like a dubbel or doppelbock. Toffee, figgy sweetness. Mixed signals for sure. ",kinda like a boch
,,,Blitz Fire Brown,BROWN ALES,American Brown Ale,OLD STOVE BREWING COMPANY,"Seattle, WA",5.2%,,4.0,,,"inoffensive brown, almost a normal beer in disguise, ""smells like someone's house"" - angela"
,,,Brewjeria Nut Brown Ale,BROWN ALES,English Brown Ale,BREWJERIA COMPANY,"Pico Rivera, CA",5.5%,4.5,3.5,4.0,Just another brown ale. Maybe nuttiness? You really just miss the fizz and body of a stout.,"meh, omega lite, porter vibes"
,,,Alaskan Amber Alt,BROWN ALES,Altbier,ALASKAN BREWING COMPANY,"Juneau, AK",5.3%,5.0,3.3,4.2,Malty and fizzy. Balanced overall. ,does this need to exist?
,,,Downtown Brown,BROWN ALES,English Brown Ale,LOST COAST BREWERY,"Eureka, CA",5.0%,3.6,3.8,3.7,Light on the porter vibes.,fizzy watery brown ale lite
,,,Black Rice Ale,BROWN ALES,American Brown Ale,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",3.8%,4.0,3.2,3.6,"Smelled like toasted rice and coffee, but kind of a stout wannabe.",seltzer water dyed black
,,,Peanut Butter Brown Ale,BROWN ALES,American Brown Ale,BLAZING TREE BREWERY,"El Paso, TX",5.0%,,3.5,,,"smells great but way too light, detrimental 5% in taste, body and enjoyment"
🆕,,,Hazelnut Brown Nectar,BROWN ALES,English Brown Ale,ROGUE ALES,"Ashland, OR",5.6%,,,,,
🆕,,,Pecan Ale,BROWN ALES,American Brown Ale,ABITA BREWING COMPANY,"Covington, LA",5.2%,,,,,
,,,Salted Caramel Bourbon Barrel Porter,PORTERS,English Porter,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",9.5%,7.2,7.0,7.1,Good execution of the bourbon barrel shtick. Very clean caramel without being gross.,"caramel note is really nice and forward, lingering mouthfeel is awesome"
,,,Victory at Sea,PORTERS,Imperial Porter,BALLAST POINT BREWING COMPANY,"San Diego, CA",10.0%,6.2,6.9,6.6,Tastes like 10% and a butt-ton of chocolate.,"fantastic on the nose, chocolate yum yum but with a lot of alc"
,,,Pump up the Yams Holiday Porter,PORTERS,American Porter,BREWJERIA COMPANY,"Pico Rivera, CA",7.6%,6.6,6.4,6.5,"Smells like Thanksgiving. Very strong cinnamon, finishes dry and bitter., like coffee.","""holiday porter"" is a perfect description"
,,,Black Butte Anniversary XXXVI,PORTERS,Imperial Porter,DESCHUTES BREWERY,"Bend, OR",11.4%,5.2,6.9,6.1,A less offensive boubon beer. Not too sweet with vanilla notes all the way down. ,"my best in class in bourbon barrel omega darks, just enough sweetness, bourbon notes without the aggro, whiffs of peanut butter"
,,,Samuel Smith Taddy Porter,PORTERS,English Porter,SAMUEL SMITH OLD BREWERY,"Tadcaster, ENGLAND",5.0%,6.4,5.3,5.9,"Can taste the best-in-class porter, but still don't like porters that much.",a fizzy rooty drink
,,,Vanilla Porter,PORTERS,American Porter,BRECKENRIDGE BREWERY,"Breckenridge, CO",5.4%,5.6,6.2,5.9,Like drinking Krispy Kreme.,decent beer with meh amounts of vanilla
,,,Louvada Porter,PORTERS,English Porter,CERVEJERIA LOUVADA,"Cuiabá, BRAZIL",5.4%,6.0,5.4,5.7,Mildly sweet. I like that it's fizzy compared to a typical porter. Negra with some roasty flavors. ,"dark lager plus, way lighter and fizzier than porters of the past, tastes brown"
,,,Mississippi Mud Black & Tan,PORTERS,American Porter,MISSISSIPPI BREWING COMPANY,"Utica, NY",5.0%,4.8,5.1,5.0,"Good god, it's so cheap.","cheap and dirty, but comes in a 32oz jug"
,,,Healdsburg Robust Porter,PORTERS,Robust Porter,HEALDSBURG BEER COMPANY**,"Boonville, CA",6.0%,5.8,3.1,4.5,"Still kinda tastes like I'm sucking on a burnt pine tree, but solid coffee and chocolate notes.","robust in medicine, wood, and rot. brown ale+"
,,,Palace Porter,PORTERS,English Porter,UKIAH BREWING COMPANY,"Ukiah, CA",6.0%,,4.5,,,"malty and rich up front, but isopropyl finish"
,,,Black Butte Porter,PORTERS,American Porter,DESCHUTES BREWERY,"Bend, OR",5.5%,4.6,3.3,4.0,Woodsy. A beer for tea lovers (maybe not).,porter lite
,,,"Coconut Hiwa Porter",PORTERS,American Porter,MAUI BREWING COMPANY,"Kihei, HI",6.0%,,3.6,,,where coconut
,,,PM Porter,PORTERS,American Porter,BJ'S BREWHOUSE,"West Covina, CA",6.4%,3.7,3.4,3.6,"You smell coffee and vanilla but don't really taste it. No body, and slight medicine-y tones.",light chinese herbal medicine
,,,Pecan Porter,PORTERS,American Porter,BLAZING TREE BREWERY,"El Paso, TX",5.0%,,3.0,,,"not getting any pecan, kinda selztery-watery, again, 5% coming through in the worst ways"
,,,Żywiec Porter,PORTERS,Baltic Porter,ŻYEWIEC BREWERY,"Cieszyn, POLAND",9.5%,3.4,2.1,2.8,"I don't hate it, but it's bitter.",Eastern European backwoods medicine
,⭐,⭐,Belching Beaver Peanut Butter Milk Stout,STOUTS,Sweet / Milk Stout,BELCHING BEAVER BREWERY,"San Diego, CA",5.3%,7.4,7.3,7.4,Chocolate cream wafer cookie beer. ,chocolate wafer cookie
,,,Parabola 2023,STOUTS,Russian Imperial Stout,FIRESTONE WALKER BREWING COMPANY,"Paso Robles, CA",13.5%,6.9,7.6,7.3,"Slightly syruppy but an incredibly smooth dark chocolate, figgy, fruity stout.  Way complex.","syrupy sweetness but a good chest burn with dark, dark fruit notes, sip lightly, preferrably with other people around you"
🆕,,,Kirkland Signature Vintage Ale (2024),STOUTS,American Imperial Stout,DESCHUTES BREWING,"Bend, OR",12.0%,6.9,7.2,7.1,Remember it's a low bar for barrel aged stouts. Dark chocolatey and no syrupy sweetness. ,"the bu tai tian of barrel aged stouts, tastefully bitter, alc forward but just in the beginning, great mouthfeel"
,⭐,,Samuel Smith Imperial Stout,STOUTS,Russian Imperial Stout,SAMUEL SMITH OLD BREWERY,"Tadcaster, ENGLAND",4.2%,7.2,6.9,7.1,Strong dark chocolate flavors and no lingering alcohol in your mouth. Nice.,"damn good stout, like dark dark dark chocolate"
,,⭐,Tatonka Stout,STOUTS,Russian Imperial Stout,BJ'S BREWHOUSE,"West Covina, CA",8.5%,7.0,7.1,7.1,What I always wanted Guiness to be.,"wood, tabacco, what I thought Guiness would taste like, smooth as fuck, nitro ftw"
🆕,,,Black Chocolate Stout,STOUTS,Russian Imperial Stout,BROOKLYN BREWERY,"Brooklyn, NY",10.0%,7.0,6.7,6.9,Single smoothest 10% stout ever. Almost want it to be slightly sweeter.,"dark, dark, dark chocalate, no off-stout tastes, scary ez drink for 10%"
,,,Java Deluxe,STOUTS,American Imperial Stout,RITUAL BREWING COMPANY,"Redlands, CA",12.2%,6.8,6.6,6.7,Mellow for 12%. For espresso lovers.,"tastes like coffee, 12% sleeper"
,,,Old Rasputin ,STOUTS,Russian Imperial Stout,NORTH COAST BREWING COMPANY,"Fort Bragg, CA",9.0%,6.7,6.6,6.7,Just slightly sweeter than Tatonka but not as smooth. Bit heavy on the alcohol.,"clean taste, nice mouthfeel, lingering alc"
,,,Lawless Latte ,STOUTS,Sweet / Milk Stout,LAWLESS BREWING COMPANY,"Los Angeles, CA",6.5%,,6.6,,,"pretty fking tasty, nitro coffee beer, creamy and smooth"
,,,Mama Coco,STOUTS,Sweet / Milk Stout,LA BODEGA BREWING COMPANY,"Whittier, CA",8.0%,6.0,6.9,6.5,"Coconut lies. Same chocolate from Azteca, but less coffee, less bitter, and smoother.","had this 3 times lel, nice dessert stout without the sickening sweetness"
,,,Mocha Stout,STOUTS,American Stout,ABNORMAL BEER COMPANY,"San Diego, CA",5.1%,6.0,7.0,6.5,Straightforward stout. Clean finish.,"damn good stout, tastes like a stout should, good focus on intended notes"
,,,Abuela Stout,STOUTS,American Imperial Stout,DEADBEACH BREWERY,"El Paso, TX",9.8%,,6.4,,,"abuelita stout on nitro, couldn't fuck it up if you tried"
,,,FOCOCOMO (2024),STOUTS,American Imperial Stout,BOTTLE LOGIC BREWING,"Anaheim, CA",14.0%,6.4,6.3,6.4,"Maybe one of the better high ABV stouts. Smooth for sure, still very, very sweet. ",sweet choco wafer mixed with black tar
,,,Nitro Milk Truck,STOUTS,American Stout,MOTHER EARTH BREWING COMPANY,"Vista, CA",5.8%,6.4,6.4,6.4,Chocolate latte with no bitterness or syruppy sweetness. Creamy nitro doesn't come off flat.,"actually almost like a coffee, pretty damn good, nice texture dispite poor nitro can experience"
,,,Black House,STOUTS,Oatmeal Stout,MODERN TIMES BEER,"San Diego, CA",5.8%,6.5,6.1,6.3,Very clean flavored coffee stout with nothing you don't want. Not overly bitter or sweet.,"not an offensive stout at all, chocolate up front with linger coffee"
,,,Samuel Smith Organic Chocolate Stout,STOUTS,English Stout,SAMUEL SMITH OLD BREWERY,"Tadcaster, ENGLAND",5.0%,6.0,6.5,6.3,Chocolate beer.,"in every liquor store, and indeed is chocolatey"
,,,KBS,STOUTS,American Imperial Stout,FOUNDERS BREWING COMPANY,"Grand Rapids, MI",12.0%,6.2,6.2,6.2,Works better than that boubon quad.,"really floral and flavorful, rich n deep"
,,,Peanut Butter Chocolate Milk Stout,STOUTS,Sweet / Milk Stout,LOST COAST BREWERY ,"Eureka, CA",5.6%,5.7,6.6,6.2,"Hits what it's aiming for, but being a stout almost detracts from it. Needs more fizz.",mmmmmmmmmmmm
,,,Nitro Dark Star,STOUTS,Oatmeal Stout,FREMONT BREWING COMPANY,"Seattle, WA",8.0%,5.2,7.1,6.2,"Syrupy? Like it came from a soda fountain, but not sweet. Bitter, but no coffee. ",nitro cold brew beer
,,,Anderson Valley Bourbon Barrel Stout,STOUTS,American Stout,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",6.9%,5.8,6.3,6.1,Boubon flavor is pretty well balanced. Good chocolate and good coffee notes.,"(tap: 5.3, better than the other bourbon barrel stuff, but christ these things might not be for me) 
MUCH smoother in the can, actually super enjoyable"
,,,Azteca Nitro Stout,STOUTS,American Stout,LA BODEGA BREWING COMPANY,"Whittier, CA",7.0%,5.8,6.3,6.1,This is just coffee. Might've been scored higher if I ever drank coffee. ,nitro cold brew
,,,Dark Truth,STOUTS,American Imperial Stout,BOULEVARD BREWING COMPANY,"Kansas City, MO",9.7%,5.8,6.1,6.0,"Good on the nose, slightly fruity, tastefully bitter, but missing coffee/chocolately malt notes. ","notes of tropical fruit, nicely bitter like a stout should be"
,,,Obsidian Nitro Stout,STOUTS,American Stout,DESCHUTES BREWING,"Bend, OR",6.5%,6.7,4.9,5.8,Super strong Tatonka. Good balance of a very dry espresso finish. ,"way over-roasted coffee notes, way too much and the nitro didn't help mellow it out"
,,,Barney Flats Oatmeal Stout,STOUTS,Oatmeal Stout,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",5.8%,6.2,5.2,5.7,Very clear date/fig fruitiness and coffee/espresso dryness. Easy passable stout.,"(tap: 3.6, really light drink for a stout, east drinking but nothing much to write home about)
can: much better in can, dates and coffee"
,,,Speedway Stout,STOUTS,American Imperial Stout,ALESMITH BREWING COMPANY,"San Diego, CA",12.0%,6.8,4.3,5.6,The most I've ever liked coffee. Damn good.,"great cofee flavor but too much, harsh finish"
,,,Breakfast Stout,STOUTS,Oatmeal Stout,FOUNDERS BREWING COMPANY,"Grand Rapids, MI",8.3%,6.6,4.3,5.5,Speedway but worse. At least it won't slam you as hard as that 12% though.,"rich, bitter, heavy on bitter"
,,,Miyajima Oyster Stout,STOUTS,American Stout,MIYAJIMA BEER,"Hiroshima, JAPAN",5.0%,5.5,,,Gotta try real hard to taste the oyster. It's there though. Body and taste is more like a porter. ,
,,,The Pugilist,STOUTS,Irish Dry Stout,SOCIETE BREWING COMPANY,"San Diego, CA",4.8%,5.5,5.3,5.4,"Better Guinness. Lightly sweet, butty, and chocolatey with a better, sessionable body.","tastes dry, rootiness of a better Guinness"
,,,Stay Golden,STOUTS,White / Golden Stout,DEADBEACH BREWERY,"El Paso, TX",7.3%,,5.3,,,"actually crazy, tastes like a stout, abv like a stout, but clear as piss"
,,,5X Stout,STOUTS,American Imperial Stout,PIKE BREWING COMPANY,"Seattle, WA",8.2%,,5.2,,,honestly kinda nice lol (i be drunk at this point)
,,,Pancho Pantera,STOUTS,Russian Imperial Stout,VILLAINS BREWING COMPANY,"Anaheim, CA",17.5%,5.0,5.4,5.2,Sippable. Could not drink any more than flight glass.  Chocolatey and did not get that sweet. ,thicc stout with a good shot of wood and mulch
,,,Young's Double Chocolate Stout,STOUTS,Sweet / Milk Stout,CARLSBERG MARSTONS BREWING COMPANY,"Bedford, ENGLAND",5.2%,5.2,5.2,5.2,Not sure where the chocolate was.,where chocolate?
,,,Yukon Cornelius,STOUTS,Sweet / Milk Stout,LAZARUS BREWING COMPANY,"Austin, TX",4.9%,,5.2,,,"no horchata at all, but nice nitro milk sout"
,,,Pumpkin Spice Yeti,STOUTS,American Imperial Stout,GREAT DIVIDE BREWING COMPANY,"Denver, CO",9.5%,5.0,5.2,5.1,"No pumpkin, no spices, no idea it was 10%. Not a bad coffee stout, way too expensive.","stout with more medicine than spices, but holy shit it's 9.5%"
,,,Huge Arker Boubon Barrel Imperial Stout,STOUTS,Russian Imperial Stout,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",15.5%,5.0,5.0,5.0,:pepeitshuge: ,that's a huge arker bro
,,,Fireside S'mores,STOUTS,Sweet / Milk Stout,CAMPSITE BREWING COMPANY,"Covina, CA",7.8%,4.8,4.9,4.9,"Nutty and sweet like peanut butter, but way too hard on the sweetness. ","roasty toasty marshmallows, but a touch too damn sweet"
,,,Samuel Smith Oatmeal Stout,STOUTS,Oatmeal Stout,SAMUEL SMITH OLD BREWERY,"Tadcaster, ENGLAND",5.0%,5.0,4.8,4.9,The light beer of stouts.,light beer stout
,,,¡Viva La Beaver!,STOUTS,Sweet / Milk Stout,BELCHING BEAVER BREWERY,"San Diego, CA",7.5%,4.2,5.3,4.8,"Spiced wrong, and lost everything that was good about the original peanut butter stout.",not even close to as good as the OG
,,,Coco Pantera,STOUTS,Russian Imperial Stout,VILLAINS BREWING COMPANY,"Anaheim, CA",17.5%,4.4,5.0,4.7,The other pantera + coconut simple syrup and somehow boozier.,"malibu stout (zero dilution, you are raw dogging malibu) "
,,,Cavatica,STOUTS,American Imperial Stout,FORT GEORGE BREWERY & PUBLIC HOUSE,"Astoria, OR",8.8%,5.2,3.9,4.6,"Less refined Tatonka. Sweeter and more bitter, decently balanced. Good fizz. ",black tar isopropyl
,,,Claremont Irish Stout,STOUTS,Irish Dry Stout,CLAREMONT CRAFT ALES,"Claremont, CA",4.1%,4.1,5.1,4.6,"A step above Guiness, but we all know it's not exactly a high bar. Extra Draught is cheaper.","an stout, dry, slightly lingering sweetness, helps it's nitro"
,,,Milk Stout Nitro,STOUTS,Sweet / Milk Stout,LEFT HAND BREWING COMPANY,"Longmont, CO",6.0%,4.8,4.4,4.6,Close your eyes. It drinks like milk.,nitro'd bitter milk
,,,Montana Milkshake,STOUTS,Sweet / Milk Stout,LAZARUS BREWING COMPANY,"Austin, TX",7.5%,,4.6,,,"slight coffee notes but over all an ""asking"" milk stout"
,,,Parabola 2024,STOUTS,Russian Imperial Stout,FIRESTONE WALKER BREWING COMPANY,"Paso Robles, CA",13.8%,4.4,4.5,4.5,"Very complex, sure, but still strikes me as a shocking, shuddering tasting experience.","WAY worse than last years, it's more soy sauce than fruit juice, gets worse on every sip"
,,,Daedelus Irish Stout,STOUTS,Irish Dry Stout,ELYSIAN BREWING COMPANY,"Seattle, WA",4.7%,4.0,4.7,4.4,"Just barely better than Guiness, and really only by technicality. Very similar body and flavor. ","a watery Guiness replacement, for the irishman far from home"
,,,Guiness Extra Stout,STOUTS,Irish Dry Stout,ST. JAMES'S GATE BREWERY,"**Dubin, IRELAND",5.6%,4.0,4.5,4.3,"Stop making normal Guiness and just make this the default, wtf.",guiness+
,,,Dark Passage,STOUTS,American Stout,OLD STOVE BREWING COMPANY,"Seattle, WA",7.0%,,4.2,,,"alc forward, but pretty interesting stout notes"
,,,Old No. 38,STOUTS,Irish Dry Stout,NORTH COAST BREWING COMPANY,"Fort Bragg, CA",5.4%,4.3,3.9,4.1,"A ""normal"" stout for once. Woodsy, herbal-y, and roasted. Good body. Completely okay drink.","woody, lightly bitter, not exactly sessionable and i don't think i'll go back to it, probably a drink that gets worse as it goes on"
,,,HenHouse Oyster Stout,STOUTS,English Stout,HENHOUSE BREWING,"Santa Rosa, CA",4.9%,4.1,3.7,3.9,"Rootier, coffee-er Guiness. Smells better than it tastes, which is quite bitter.",mediciney Guiness with really sharp bubbles
,,,Kicked Out Nitro Stout,STOUTS,Irish Dry Stout,KNOTTY BREWING COMPANY,"San Diego, CA",6.0%,3.8,3.9,3.9,See's Candy. I swear.,"lite toffee, nitro doesn't help the lack of body present in all the taps at Karl Strauss"
,,,Share This: Coffee,STOUTS,American Imperial Stout,THE BRUERY,"Placentia, CA",11.0%,3.2,3.6,3.4,:pogyuckchamp:,"probably better with nitro, but holy fuck there's like an entire espresso in here or someshit"
,,,Old Stove Golden Stout,STOUTS,White / Golden Stout,OLD STOVE BREWING COMPANY,"Seattle, WA",7.4%,,3.3,,,"tobacco, mulch, and not in a good way, light in color, brown in taste"
,,,Term Oil Vanilla Bean,STOUTS,American Imperial Stout,TOPPLING GOLIATH BREWING COMPANY,"Decorah, IA",14.5%,3.2,3.1,3.2,"Just another syrupy sweet, extremely strong, booze-y stout. ","worst syrup stout yet, smells like soy sauce"
,,,Zilker Coffee Milk Stout,STOUTS,Sweet / Milk Stout,ZILKER BREWING COMPANY,"Austin, TX",5.8%,,3.2,,,"initial hit of coffee grounds so...not the good parts of the coffee, has potential but not founded by me"
,,,Guiness Draught,STOUTS,Irish Dry Stout,ST. JAMES'S GATE BREWERY,"**Dubin, IRELAND",4.2%,3.0,3.0,3.0,"Growing up is realizing that some ""grown-up"" beers like Guiness are kinda just shit.",Dirty Mop Bucket Water
,,,Coffee & Cakes,STOUTS,American Imperial Stout,UNE ANNÉE - HUBBARD'S CAVE BREWERY,"Niles, IL",12.0%,2.8,2.7,2.8,Like melted molasses. Chocolate vanilla syrup.,way too fucking sweet
,,,Mind Over Batter,STOUTS,American Imperial Stout,BOTTLE LOGIC BREWING,"Anaheim, CA",12.0%,2.7,2.0,2.4,Deadass syrup. Made me shudder.,root beer syrup
,,,Natalia's Nitro Stout,STOUTS,Irish Dry Stout,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",4.2%,,,,,
🆕,,,Hitachino Nest Sakura Stout,STOUTS,American Imperial Stout,KIUCHI BREWERY,"Ibaraki, JAPAN",6.5%,,,,,
,⭐,⭐,Paulaner Oktoberfest (Wiesn) Bier,PALE LAGERS,Festbier / Wiesnbier,PAULANER BRAUEREI MÜNCHEN,"Munich, GERMANY",6.0%,8.0,8.0,8.0,#1 in Germany.,"quintessential drinking beer, Beer™ "
,⭐,⭐,Bavik Super Pils,PALE LAGERS,Bohemian / Czech Pilsner,BROUWEIJ DE BRABANDERE,"Bavikhove, BELGIUM",5.2%,7.8,7.8,7.8,The pilsner she tells you not to worry about.,"butter, caramel, super pils"
,⭐,,Enchantress Golden Pilsner,PALE LAGERS,Bohemian / Czech Pilsner,BJ'S BREWHOUSE,"West Covina, CA",5.0%,7.4,7.0,7.2,Nuttier than Brewnette and tastefully hopped. ,"significantly better than all of bj's other ""lite"" beers, firm 3rd place"
,⭐,⭐,Trumer Pils,PALE LAGERS,German Pilsner,TRUMER BRAUEREI,"**Salzburg, AUSTRIA",4.9%,7.2,7.1,7.2,Just slightly sweet and silky smooth going down.,absolutely solid
,,,Hell Helles Lager,PALE LAGERS,Helles,WAYFINDER BEER,"Portland, OR",4.7%,6.8,7.3,7.1,"Super crisp, slammable, and just barely sweet on the tongue. Great for hot weather. ","perfect heat defeater, sweet crispy goodness"
,,,Chuco Lager,PALE LAGERS,American Lager,DEADBEACH BREWERY,"El Paso, TX",4.1%,,7.0,,,"a fantastic light beer, fizzyness and taste that stays on the tongue"
,⭐,⭐,Paulaner Münchner Hell (Münchner Lager),PALE LAGERS,Helles,PAULANER BRAUEREI MÜNCHEN,"Munich, GERMANY",4.9%,7.0,7.0,7.0,Smoother than a fresh jar of Skippy.©,crystal clear high life
,,⭐,Buena Suerta,PALE LAGERS,American Lager,LA BODEGA BREWING COMPANY,"Whittier, CA",5.0%,6.8,7.0,6.9,Nuttier than it has any right to be for a base model lager. Solid body as well.,"smooth, nutty, buttery, awesome"
,⭐,,The Premium Malt's Master's Dream,PALE LAGERS,Bohemian / Czech Pilsner,SUNTORY,"Osaka, JAPAN",5.0%,6.8,,,"Even maltier, nuttier, and smoother than the regular one. Dreaming of the master. ",
🆕,,,Coedo Kyara,PALE LAGERS,India Pale Lager,KYODO SHOJI KOEDO BREWERY,"Saitama, JAPAN",5.5%,6.3,7.1,6.7,"Hoppy and crisp with no grass or bitterness. These ""IPLs"" definitely still strike me as odd.","crisp, bright, full bodied, nice on the nose, ""aaahh"""
,,,Pilsner Urquell,PALE LAGERS,Bohemian / Czech Pilsner,PIZEŇSKÝ PRAZDROJ,"Pilsen, CZECH REPUBLIC",4.4%,6.8,6.5,6.7,The World Seed.,Pilsner™ 
,,,Old Monk 10000 Super Beer,PALE LAGERS,Malt Liquor,MOHAN BREWERIES & DISTILLERIES,"Chennai, INDIA",8.0%,6.8,6.5,6.7,"So well-rounded, it's like drinking a circle.","mysterious lingering flavor, A+ texture and mouthfeel"
,,,805 Cerveza,PALE LAGERS,American Adjunct Lager,FIRESTONE WALKER BREWING COMPANY,"Paso Robles, CA",4.5%,6.5,6.7,6.6,One of the best Mexican lagers you can get. Good balance of lime and salt flavors.,"a fantastic summertime cerveza, more lime than salt and abosultely crushable"
,,,Crazy Horse ,PALE LAGERS,Bohemian / Czech Pilsner,LAZARUS BREWING COMPANY,"Austin, TX",5.0%,,6.6,,,"nice and crisp, ever so slightly tingly in the end"
,,,Hofbräu Oktoberfestbier,PALE LAGERS,Festbier / Wiesnbier,STAATLICHES HOFBRÄUHAUS IN MÜNCHEN,"Munich, GERMANY",6.3%,6.6,6.6,6.6,Let's get this fest going.,i can drink so much of this stuff
,,,Prodigal Pils,PALE LAGERS,German Pilsner,LAZARUS BREWING COMPANY,"Austin, TX",5.2%,,6.6,,,"solid pils, also nice and crisp, helps that it was ice cold"
,,⭐,Street Cart,PALE LAGERS,American Lager,GOLDEN ROAD BREWING,"Los Angeles, CA",4.8%,5.5,7.7,6.6,Best Mexican lager I've had to date. Still has that yellow gatorade vibe from the salt and lime.,best mexican beer ever?????
,,,All Season Pils,PALE LAGERS,German Pilsner,ALL SEASON BREWING COMPANY,"Los Angeles, CA",5.2%,6.5,,,Starting to like the hint of hop in these pilsners.,
🆕,,,Coedo Ruri,PALE LAGERS,German Pilsner,KYODO SHOJI KOEDO BREWERY,"Saitama, JAPAN",5.0%,6.8,6.1,6.5,Nutty and floral in all the right places. Hints of almonds. First excellent pils in a while. ,"a pretty damn good pils, slight floral hops"
,,,Icy Boys,PALE LAGERS,American Lager,ZILKER BREWING COMPANY,"Austin, TX",4.6%,,6.5,,,"very good, slightly buttery, finished really nicely"
,,,Hitachino Nest Yuzu Lager,PALE LAGERS,American Lager,KIUCHI BREWERY,"Ibaraki, JAPAN",5.5%,6.2,6.8,6.5,You can taste the actual yuzu zest (it's bitter).,actual yuzu lager
